Rater1,Rater2,Rater3,ResRater1,ResRater2,ResRater3
NA,No,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
No,No,No,No,No,No
No,No,No,No,No,No
No,NA,No,No,No,No
NA,NA,NA,NA,NA,NA
No,No,No,No,No,No
NA,NA,NA,NA,NA,NA
Yes,NA,NA,NA,NA,NA
Yes,No,No,Yes,Yes,Yes
Yes,No,No,Yes,Yes,Yes
NA,NA,NA,NA,NA,NA
Yes,NA,NA,NA,NA,NA
Yes,NA,NA,NA,NA,NA
Yes,NA,NA,NA,NA,NA
Yes,NA,NA,NA,NA,NA
Yes,NA,NA,NA,NA,NA
Yes,NA,NA,NA,NA,NA
Yes,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
Yes,NA,NA,NA,NA,NA
Yes,NA,NA,NA,NA,NA
Yes,NA,No,Yes,Yes,Yes
NA,NA,NA,NA,NA,NA
Yes,Yes,No,Yes,Yes,Yes
Yes,Yes,No,Yes,Yes,Yes
Yes,Yes,No,Yes,Yes,Yes
NA,NA,NA,NA,NA,NA
Yes,NA,No,Yes,Yes,Yes
Yes,Yes,No,Yes,Yes,Yes
Yes,Yes,No,Yes,Yes,Yes
Yes,Yes,No,Yes,Yes,Yes
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,NA,No,NA,NA,NA
No,No,Yes,Yes,Yes,Yes
No,No,No,No,No,No
NA,NA,NA,NA,NA,NA
No,No,No,No,No,No
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
No,No,No,No,No,No
No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
NA,NA,NA,NA,NA,NA
No,No,No,No,No,No
No,No,No,No,No,No
No,No,Yes,Yes,Yes,Yes
NA,NA,NA,NA,NA,NA
Yes,NA,No,Yes,Yes,Yes
Yes,No,Yes,Yes,Yes,Yes
Yes,No,Yes,Yes,Yes,Yes
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
No,No,No,No,No,No
Yes,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
NA,NA,NA,NA,NA,NA
