Rater1,Rater2,Rater3,ResRater1,ResRater2,ResRater3
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
No,Yes,Yes,Yes,Yes,Yes
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,Yes,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
No,Yes,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
No,No,Yes,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
No,Yes,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
No,Yes,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
No,No,No,No,No,No
No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
No,No,No,No,No,No
No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,No,No,No
??,Yes,Yes,No,No,No
No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
No,No,No,No,No,No
Yes,Yes,No,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
No,Yes,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
No,Yes,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
No,No,Yes,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
